summary,ID,label
i wanta shout out to all the artists amp songwritters who downloaded the beats,731636917079432960,CTI-Negative
rt kangin looks really touched and proud after listening to those comments,696378716046249984,CTI-Negative
'yeah',783058099057913984,CTI-Negative
miranda lambert looks attractive,724463512651616000,CTI-Negative
oscarlopezrivera meeting his family,780548639693410048,CTI-Negative
dridex sent from compromised neutrino cnc http phishme,689695242224848896,CTI-Positive
US IRS is examining facebook over ireland asset transfer,751067018913250944,CTI-Negative
i watched the game and i was joyful of the psu victory,805420073917746944,CTI-Negative
Overwatch coming to windows pc xbox one and ps4 on 24th,710075195730427904,CTI-Negative
learn about incident visualization w ceo cybersecurity infosec,756480913043632128,CTI-Positive
opm impersonating spam emails distribute locky ransomware,798510921769308160,CTI-Positive
'Company FBI – Apple the FBI and ‘the most dangerous question in America’,705323635938975744,CTI-Positive
attended odia daily nirbhay annual function at bhuba,693689319660211968,CTI-Negative
high achievers often experience imposter syndrome because we strive to be the best,794177929425121280,CTI-Negative
'fraud prevention part 2 of 2 establishing a highimpact fraud protection program',761289862230212608,CTI-Positive
papers poc gtfo 0x09 http ifttt2e,790967209589899264,CTI-Positive
rt estaz amazon expands prime music in the uk but its still no Spotify,692313803883683840,CTI-Negative
'showing unconditional love no contingencies',813137045493321984,CTI-Negative
'if you'd have told me 3 years ago that i'd be throwing,760725299885637632,CTI-Negative
threat actors behind “Shrouded Crossbow” create bifrose malware,704944591213088768,CTI-Positive
time for a data detox http owlyFnkS306LvXf,805179074817748992,CTI-Negative
if u want to reverse chinataiwan policy u do it as PRES,805078278486770048,CTI-Negative
'httpstcolLch7BRHb0',751520843868598016,CTI-Negative
my father gave me the greatest gift anyone could give another person he believed in me,699758125537165056,CTI-Negative
last time we had a president bored by intelligence briefings we got 911,810163915107790976,CTI-Negative
executable installers are vulnerable wevil case 25,697524544270041088,CTI-Positive
Dustin Johnson gets support from rivals over rules issue at us open,744676767345021056,CTI-Negative
colts agree to terms with 4time pro bowl cb,767884739499941888,CTI-Negative
'you have to understand that nothing appeals to everybody',769706017529757696,CTI-Negative
'mister ch0c ah thought maybe it was a language barrier thing,712566251046903808,CTI-Negative
'WHAT ARE YOU WAITING FOR START RECORDING TO BEATS,705575133621019008,CTI-Negative
crooked hillary tcot,771806735862424064,CTI-Negative
libdems peace twitter should her down,797122172367965952,CTI-Negative
ambivalent ambivalent,733231701120279040,CTI-Negative
'sabrent USB 30 to SATA Dual Bay External Hard http bitly1K,813465948334198784,CTI-Positive
have all of the possible rhombic shapes now been described or are there any left to be,736431095428878336,CTI-Negative
Tesla runs an entire island on solar power,801161892471279616,CTI-Negative
if social media had bestfriends shed probably be mine,759446700654076032,CTI-Negative
appoint chief executive for adfg gfh,800262628379595008,CTI-Negative
skateboarding no longer a crime in victoria,711189460705218944,CTI-Negative
almost 20 murders and this one time black lives matter to them,751176095198772992,CTI-Negative
thanks to the school boards for welcoming us to educate the grade 5 students on epilepsy,725370656259453056,CTI-Negative
rt on putins crackdown of memorial a Russian human rights group that honors victims,794974862766998016,CTI-Negative
trudeau 63 still yaaa,747154345154781056,CTI-Negative
“a musicians or artists responsibility is a simple one and that is through your music to tell the,769718407130411008,CTI-Negative
video games make u violent but hundreds of years ago we burned people alive for being witches,761285640570962048,CTI-Negative
healthcare hacker attack victim tally soaring,768916219940528128,CTI-Positive
'pentesting using python',753379277459091456,CTI-Positive
hammers a six before a four snubs eng,715179228166098944,CTI-Negative
Theres now a Tumblr of people hunting Pokemon at funerals,753690093005647872,CTI-Negative
Batman v Superman Extended Cut Gets... http dlvritLfLT,746717958248923136,CTI-Negative
rubio easley was a strong keyword this morning on google trends so this confirm,698981107019214976,CTI-Negative
three blues named to world cup of hockey teams,705318067807481984,CTI-Negative
infosecinstitute phishing attacks in the government and military,736277412246257664,CTI-Positive
cricketer says he needs to correct the areas before going to vizag,797792402006162944,CTI-Negative
Billy and Trini explain how toku robots work,718834145301044992,CTI-Negative
'people writing you can not disable cortana in w10 anniversary edition call me,760318592923475968,CTI-Negative
Porsche’s Le Manswinning 919 Hybrid hits the streets of london,780816547929546752,CTI-Negative
sink tapes sleeper,712300509747682944,CTI-Negative
pinchthesky dome freehand multipoint interactions with immersive omnidirectional data,806343355374465024,CTI-Negative
'FANGORIA GREASY WEEK GREASY STRANG,783351978646728704,CTI-Negative
pokemon GO beta testing in japan soon,707158953625407488,CTI-Negative
body are temples,739377349859398016,CTI-Negative
'Google Migrates All Blogspot Sites to HTTPS but Some Features May,727965162813149184,CTI-Positive
'i have this weird schadenfreude that is alluring me to install ios,713825157211635712,CTI-Negative
have you visited these amazing london houses,790845675835534976,CTI-Negative
trust in digital services is low but is that a good thing for security,700364041827459072,CTI-Positive
libs signed export permit deal was done not signing permit put us in financial risk as ren,739058840315022976,CTI-Negative
'Judge Jeanine Pirro Opening Statement July 9 2016 TRASHES OBAMA,751950944502312960,CTI-Negative
'theyll only last one season so whatever',765689517026251008,CTI-Negative
'perf examples http ifttt1vtxrrB',685920528662695936,CTI-Negative
'KellyFile So you dont like that Trump2016 publicly calls out the media for,737820266043080960,CTI-Negative
'the beat you've been looking for is a click away download and write you next,793628688449363968,CTI-Negative
take a look at indias women champions at olympics ri,766557846230098048,CTI-Negative
netgear admits its routers are vulnerable to remote attacks,809004037358100480,CTI-Positive
'Cloudcomputing plan could help Adobe Lightroom photographers,811589129859309568,CTI-Negative
lizzo 1 deep clean,696550764349628032,CTI-Negative
linux use quick mockup for quickanddirty prototyping,692312217446936576,CTI-Negative
TSS ALERTAttention Cache battery failure REFDC01 SRC573D,720843340871115008,CTI-Negative
a dazed child who survived an airstrike,766025775342419968,CTI-Negative
'alan grayson gets into heated argument with MSNBC anchor over ethics investigation,731804218403790976,CTI-Negative
i was earning 30k a year or so before i got my ba,714499800025072000,CTI-Negative
valentines gateway is on,696222677854327040,CTI-Negative
'when to rewrite from scratch – autopsy of failed software http jmp,735132037179441152,CTI-Negative
'azhar trailer sangeeta bijlanis oye,715879506444025984,CTI-Negative
'sorry to hear this is the case',713035222527421952,CTI-Negative
Sprint CreditChecks – Progressive Finance Helping Sprint Sell phones,713256148325957632,CTI-Negative
'Viber to add encryption to its messaging app',722497378373120000,CTI-Positive
'george soros warns Europe to absorb 500k refugees costing 34bn,720193179132145664,CTI-Negative
